Title,Portátil,Max_Jugadores,Multiplataforma,Online,Genre,Licenciado,Desarrollador,Secuela,Puntuacion_Reseña,Rating,Fecha_Lanzamineto,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed
Ape Escape Academy,True,4,True,True,"Action,Sports",True,Sony,True,51,E,2004,1.88333333333333,1.88333333333333,1.88333333333333,1,1.88333333333333,0,0,0,0,0,0,0,0,0,0,1.88333333333333,1.88333333333333,1.88333333333333,1,1.88333333333333
Polarium,True,1,True,True,Strategy,True,Nintendo,True,73,E,2004,6.73333333333333,9.18333333333333,6,5,5.26666666666667,12,12,12,1,12,0,0,0,0,0,5.41666666666667,5.78333333333333,5.75,4,4.86666666666667
Asphalt: Urban GT,True,1,True,True,"Racing / Driving,Simulation",True,Ubisoft,True,60,E,2004,12.4,13.7,12.4,2,11.1,9.81666666666667,9.81666666666667,9.81666666666667,1,9.81666666666667,0,0,0,0,0,15,15,15,1,15
Zoo Keeper,True,1,True,True,Action,True,,True,74,T,2004,7.15,8.9,5,5,5.03333333333333,11.75,11.75,11.75,1,11.75,0,0,0,0,0,6,7.75,5,4,4.75
Mr. DRILLER: Drill Spirits,True,1,True,True,Action,True,Namco,True,72,T,2004,9.88333333333333,10.9833333333333,9.88333333333333,2,8.76666666666667,0,0,0,0,0,0,0,0,0,0,9.88333333333333,10.9833333333333,9.88333333333333,2,8.76666666666667
Sprung,True,1,True,True,Adventure,True,Ubisoft,True,48,E,2004,17.75,17.75,17.75,1,17.75,17.75,17.75,17.75,1,17.75,0,0,0,0,0,0,0,0,0,0
Armored Core: Formula Front - Extreme Battle,True,1,True,True,"Action,Strategy",True,,True,66,E,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puyo Pop Fever,True,1,True,True,"Action,Strategy",True,Sega,True,76,E,2004,2.5,3.11666666666667,2,3,1.86666666666667,0,0,0,0,0,4,4,4,1,4,1.75,1.86666666666667,1.75,2,1.61666666666667
Mario Kart DS,True,1,True,True,Racing / Driving,True,Nintendo,True,91,E,2005,10.4166666666667,22.3666666666667,9.08333333333333,91,5.61666666666667,16.3833333333333,25.3333333333333,15,32,10.3333333333333,10.7166666666667,15.1666666666667,10,24,7.8,4.78333333333333,7.36666666666667,4.5,35,3.06666666666667
Nintendogs,True,1,True,True,Simulation,True,Nintendo,True,83,E,2005,39.3833333333333,66.8333333333333,27.9833333333333,9,22.8333333333333,100,100,100,1,100,43.35,49.0166666666667,43.35,2,37.6666666666667,27.9666666666667,46.8166666666667,22.15,6,18.5333333333333
Brain Age: Train Your Brain in Minutes a Day!,True,1,True,True,Action,True,Nintendo,True,77,M,2005,0.95,1.48333333333333,1,10,0.633333333333333,1,1,1,2,1,0.933333333333333,0.966666666666667,0.933333333333333,2,0.9,0.933333333333333,1.48333333333333,1,6,0.633333333333333
Brain Agey: More Training in Minutes a Day!,True,1,True,True,Action,True,Nintendo,True,77,E,2005,13.25,27.05,15,7,7.46666666666667,1,1,1,1,1,23.3333333333333,29.5833333333333,15,3,17.0833333333333,7.26666666666667,12.0666666666667,1,3,2.48333333333333
Grand Theft Auto: Liberty City Stories,True,1,True,True,"Action,Racing / Driving",True,"Capcom,Rockstar",True,88,E,2005,20.2666666666667,44.8,14.9666666666667,60,12.3333333333333,46.6666666666667,59.4666666666667,47.2333333333333,7,33.2,26.55,39.1333333333333,20,11,18.6333333333333,14.2166666666667,21.9,13.85,42,10.5333333333333
Animal Crossing: Wild World,True,1,True,True,Simulation,True,Nintendo,True,86,T,2005,168.966666666667,437.366666666667,80.5333333333333,24,72.3666666666667,408.583333333333,555.8,314.666666666667,4,308.3,180.533333333333,265.133333333333,180,9,105.133333333333,72.3833333333333,135.583333333333,70,11,45.5833333333333
Big Brain Academy,True,1,True,True,Action,True,Nintendo,True,74,E,2005,9.16666666666667,14.0666666666667,7.13333333333333,9,4.56666666666667,16.3833333333333,17.8333333333333,15,3,14.9166666666667,8.06666666666667,8.53333333333333,8.06666666666667,2,7.6,4.3,5.35,5.11666666666667,4,2.85
Call of Duty 2,True,4,True,True,Action,True,"Activision,Konami",True,89,E,2005,9.23333333333333,14.55,9,210,6.55,11.6333333333333,15.7,11.1833333333333,39,8.2,9.6,11.3166666666667,10,25,7.4,8.51666666666667,11.3666666666667,8.98333333333333,146,6.36666666666667
Midnight Club 3: DUB Edition,True,1,True,True,Racing / Driving,True,Rockstar,True,74,T,2005,39,46.75,48,9,29.25,48.8666666666667,49.4,48.75,4,48.4,49,49.5,49,2,48.5,19.1666666666667,21.1666666666667,19.5,3,17.1666666666667
Need for Speed: Most Wanted 5-1-0,True,1,True,True,Racing / Driving,True,EA,True,72,M,2005,11.3833333333333,12.4333333333333,10.3333333333333,3,10.35,0,0,0,0,0,9.83333333333333,9.83333333333333,9.83333333333333,1,9.83333333333333,12.1666666666667,13.0833333333333,12.1666666666667,2,11.25
Pokmon Mystery Dungeon: Blue Rescue Team,True,1,True,True,Role-Playing (RPG),True,Nintendo,True,62,T,2005,37.4666666666667,101.016666666667,25.6166666666667,60,20.2666666666667,111.966666666667,135.733333333333,90,6,87.9833333333333,39.6166666666667,70.25,38.5,21,29.4666666666667,22.5666666666667,43.9166666666667,23.05,33,15.9
Sonic Rush,True,1,True,True,Action,True,Sega,True,82,E,2005,7.91666666666667,13.5333333333333,6.21666666666667,25,5.03333333333333,13.4333333333333,17.35,16,5,10.4666666666667,9.43333333333333,10.35,10,7,8.18333333333333,4.96666666666667,5.98333333333333,5,13,3.98333333333333
Star Wars: Battlefront II,True,1,True,True,Action,True,,True,69,E,2005,15.0166666666667,116,9,99,7.41666666666667,48.9,131.066666666667,35.3666666666667,14,28.5666666666667,13.4166666666667,16.6833333333333,13.35,25,9.83333333333333,7.78333333333333,11.2333333333333,8,60,5.35
SOCOM: U.S. Navy SEALs - Fireteam Bravo,True,1,True,True,Action,True,Sony,True,82,E,2005,8.58333333333333,8.58333333333333,8.58333333333333,1,8.58333333333333,0,0,0,0,0,0,0,0,0,0,8.58333333333333,8.58333333333333,8.58333333333333,1,8.58333333333333
Need for Speed: Most Wanted,True,2,True,True,Racing / Driving,True,EA,True,83,E,2005,14.6,46.65,12,182,8.36666666666667,34.6,56.15,30,21,25.2166666666667,15.9166666666667,33.25,14,51,12.4666666666667,10.1833333333333,17.0333333333333,10,110,6.75
Zoo Tycoon DS,True,1,True,True,"Simulation,Strategy",True,THQ,True,44,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sims 2,True,1,True,True,"Role-Playing (RPG),Simulation",True,EA,True,70,M,2005,55.9333333333333,122.7,34.9166666666667,20,29.7,200,200,200,1,200,61.55,90.3833333333333,60,7,42,40.6666666666667,77.9,30.9833333333333,12,24.9
Mario & Luigi: Partners in Time,True,1,True,True,"Action,Role-Playing (RPG)",True,Nintendo,True,86,E,2005,19.6666666666667,30.3166666666667,18.65,96,14.3833333333333,33.9166666666667,39.2166666666667,40,7,27.4666666666667,19.25,24.0666666666667,19.0333333333333,32,16.65,18.15,21.8166666666667,18.0166666666667,57,13.85
Madden NFL 06,True,1,True,True,Sports,True,EA,True,75,E,2005,3.75,5.36666666666667,3.75,2,2.11666666666667,3.75,5.36666666666667,3.75,2,2.11666666666667,0,0,0,0,0,0,0,0,0,0
Need for Speed Underground: Rivals,True,4,True,True,Racing / Driving,True,EA,True,74,E,2005,22.3666666666667,28.0333333333333,20.4666666666667,3,16.7,27.5666666666667,31.1166666666667,27.5666666666667,2,24.0166666666667,0,0,0,0,0,12,12,12,1,12
Twisted Metal: Head-On,True,1,True,True,"Action,Racing / Driving",True,Sony,True,79,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perfect Dark Zero,True,4,True,True,Action,True,Microsoft,True,79,E,2005,9.3,20.6833333333333,8,33,6.31666666666667,28.85,30.7833333333333,28.85,2,26.9166666666667,10.1666666666667,11.2833333333333,10,3,9.03333333333333,7.81666666666667,10,8,28,5.95
Super Monkey Ball: Touch & Roll,True,1,True,True,Action,True,Sega,True,63,T,2005,1.45,2.75,0.566666666666667,9,0.583333333333333,0,0,0,0,0,3.55,4.01666666666667,3.55,2,3.08333333333333,0.85,2.16666666666667,0.466666666666667,7,0.4
Super Princess Peach,True,1,True,True,Action,True,Nintendo,True,75,T,2005,11,19.5833333333333,9.28333333333333,22,7.81666666666667,17.7833333333333,23.4,17.7833333333333,6,13.4666666666667,9.1,10.8333333333333,9.25,9,7.58333333333333,7.61666666666667,9.08333333333333,7,7,6.4
Burnout Legends,True,1,True,True,"Action,Racing / Driving",True,EA,True,86,T,2005,12.8333333333333,18.2,12,14,9,15.3666666666667,18.9166666666667,16.25,4,11.3833333333333,14.0833333333333,18.5166666666667,12,7,10.0333333333333,6.51666666666667,6.86666666666667,7,3,6.16666666666667
Madden NFL 06,True,2,True,True,Sports,True,EA,True,74,E,2005,3.75,5.36666666666667,3.75,2,2.11666666666667,3.75,5.36666666666667,3.75,2,2.11666666666667,0,0,0,0,0,0,0,0,0,0
Clubhouse Games,True,1,True,True,Strategy,True,Nintendo,True,83,E,2005,20,20,20,1,20,20,20,20,1,20,0,0,0,0,0,0,0,0,0,0
ATV Offroad Fury: Blazin' Trails,True,4,True,True,"Racing / Driving,Sports",True,Sony,True,63,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Untold Legends: Brotherhood of the Blade,True,1,True,True,"Action,Role-Playing (RPG)",True,"Activision,Sony",True,68,M,2005,21,21.5,21,2,20.5,0,0,0,0,0,22,22,22,1,22,20,20,20,1,20
Tony Hawk's Underground 2: Remix,True,1,True,True,Sports,True,Activision,True,83,T,2005,23.45,23.45,23.45,1,23.45,23.45,23.45,23.45,1,23.45,0,0,0,0,0,0,0,0,0,0
The Sims 2,True,1,True,True,"Simulation,Strategy",True,EA,True,65,T,2005,55.9333333333333,122.7,34.9166666666667,20,29.7,200,200,200,1,200,61.55,90.3833333333333,60,7,42,40.6666666666667,77.9,30.9833333333333,12,24.9
WipEout Pure,True,1,True,True,"Action,Racing / Driving",True,Sony,True,88,E,2005,9.51666666666667,14.5833333333333,8.8,8,6.38333333333333,0,0,0,0,0,14.2,16.55,12,3,11.85,6.71666666666667,9.66666666666667,6,5,4.98333333333333
NBA Live 06,True,1,True,True,Sports,True,EA,True,80,E,2005,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4
WWE Smackdown vs. Raw 2006,True,4,True,True,"Action,Sports",True,THQ,True,81,T,2005,19.5,47.2333333333333,9.41666666666667,14,10.0833333333333,46.4833333333333,59.4833333333333,31.4833333333333,3,33.4833333333333,31,35.5,31,2,26.5,7.96666666666667,9.6,8,9,6.85
Dead or Alive 4,True,4,True,True,Action,True,,True,85,E,2005,27.3833333333333,158.333333333333,6,25,8.5,138.75,209.05,97.5,4,89.05,11.0666666666667,15.2666666666667,10,7,7.76666666666667,3.73333333333333,5.4,3.85,14,2.06666666666667
Phoenix Wright: Ace Attorney,True,1,True,True,"Adventure,Simulation",True,Capcom,True,81,E,2005,19.6833333333333,32.1833333333333,19.05,240,12.1833333333333,22.35,33.3666666666667,21.1666666666667,87,14.1166666666667,23.3166666666667,29.3,23,30,16.5666666666667,16.9166666666667,25.7333333333333,16.2666666666667,123,10.8
Spider-Man 2,True,1,True,True,Action,True,Activision,True,67,M,2005,13.25,48.3833333333333,10,37,7.06666666666667,72.5666666666667,78.8666666666667,72.5666666666667,2,66.2833333333333,12.7666666666667,17.3166666666667,12.5,12,10.4833333333333,8.35,11.0833333333333,8,23,5.33333333333333
NFL Street 2,True,4,True,True,Sports,True,EA,True,73,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirby: Canvas Curse,True,1,True,True,Action,True,Nintendo,True,86,T,2005,7.4,14.2666666666667,5.66666666666667,40,4.58333333333333,16.1166666666667,19.0166666666667,15.9666666666667,6,12.2666666666667,9.7,13.1833333333333,9.5,6,6.68333333333333,5.03333333333333,7.45,4.8,28,3.78333333333333
Battlefield 2: Modern Combat,True,4,True,True,Action,True,EA,True,77,E,2005,7.31666666666667,8.1,6.93333333333333,4,6.71666666666667,0,0,0,0,0,9.06666666666667,9.06666666666667,9.06666666666667,1,9.06666666666667,6.73333333333333,6.95,6.66666666666667,3,6.51666666666667
Yoshi Touch & Go,True,1,True,True,Action,True,Nintendo,True,73,T,2005,4.5,5.25,4.5,2,3.75,0,0,0,0,0,6,6,6,1,6,3,3,3,1,3
Tiger Woods PGA Tour 06,True,4,True,True,Sports,True,EA,True,71,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Condemned: Criminal Origins,True,1,True,True,"Action,Adventure",True,Sega,True,81,E,2005,8.16666666666667,14.8666666666667,7.55,156,5.91666666666667,14.15,15.4166666666667,15,7,12.2833333333333,9.53333333333333,15.5833333333333,9,42,7.18333333333333,7.25,11.05,7,107,5.55
Peter Jackson's King Kong: The Official Game of...,True,2,True,True,Action,True,Ubisoft,True,80,T,2005,6.96666666666667,8.58333333333333,7,49,5.48333333333333,7.58333333333333,8.98333333333333,8,17,6.55,6.8,8.33333333333333,6.56666666666667,10,5.83333333333333,6.58333333333333,8.38333333333333,7,22,5.38333333333333
Castlevania: Dawn of Sorrow,True,1,True,True,"Action,Role-Playing (RPG)",True,Konami,True,89,T,2005,16.0333333333333,62.45,13,130,9.75,30.0166666666667,69.1833333333333,26,19,20.25,15.4833333333333,32.3666666666667,14,63,10.5333333333333,11.2166666666667,16.15,10.4166666666667,48,7.9
SpongeBob SquarePants: The Yellow Avenger,True,1,True,True,Action,True,THQ,True,67,E,2005,11.85,13.7833333333333,11.85,2,9.91666666666667,15.7,15.7,15.7,1,15.7,0,0,0,0,0,8,8,8,1,8
Marvel Nemesis: Rise of the Imperfects ,True,1,True,True,Action,True,EA,True,58,T,2005,5.03333333333333,6.15,4.58333333333333,8,4.13333333333333,0,0,0,0,0,6.15,7.15,7.5,3,5.13333333333333,4.36666666666667,4.63333333333333,4.16666666666667,5,3.96666666666667
Kameo: Elements of Power,True,1,True,True,Action,True,Microsoft,True,79,T,2005,10.0333333333333,14.55,10.2,43,7.28333333333333,17,17,17,1,17,11.4333333333333,15.1,11,12,9.48333333333333,9.25,10.7,8.95,30,6.78333333333333
Advance Wars: Dual Strike,True,1,True,True,Strategy,True,Nintendo,True,90,T,2005,70.3666666666667,249.55,27.8333333333333,34,33.55,292.5,360.616666666667,250,4,245.616666666667,73.8666666666667,102.766666666667,63.8333333333333,10,54.4166666666667,24.2,27.9333333333333,23.5666666666667,20,20.9333333333333
Trauma Center: Under the Knife,True,1,True,True,"Action,Simulation",True,Nintendo,True,81,T,2005,8.75,11.75,8.26666666666667,32,6.75,9.06666666666667,11.5666666666667,7.21666666666667,3,6.56666666666667,11.4333333333333,13.35,12,5,10.35,8.15,9.91666666666667,8,24,6.65
Coded Arms,True,1,True,True,Action,True,Konami,True,59,M,2005,7.06666666666667,8.26666666666667,6,5,5.58333333333333,0,0,0,0,0,8.56666666666667,9.56666666666667,9.71666666666667,3,7.56666666666667,4.81666666666667,4.9,4.81666666666667,2,4.73333333333333
NBA LIVE 06 ,True,1,True,True,Sports,True,EA,True,64,E,2005,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4
Tony Hawk's American Wasteland,True,1,True,True,Sports,True,Activision,True,75,E,2005,12.8833333333333,14.9666666666667,13,18,9.26666666666667,15,16,15,2,14,13.6666666666667,14.5333333333333,13,7,12.6666666666667,11.8,13.45,12,9,8.75
Star Wars: Episode III - Revenge of the Sith,True,1,True,True,Action,True,Ubisoft,True,73,E,2005,5.1,6.01666666666667,5,25,4.01666666666667,6.26666666666667,6.68333333333333,6.5,3,5.85,5.61666666666667,6.28333333333333,5.55,7,4.78333333333333,4.61666666666667,5.21666666666667,5,15,3.9
Capcom Classics Collection Remixed,True,1,True,True,Action,True,Capcom,True,72,E,2005,35.6666666666667,35.6666666666667,35.6666666666667,1,35.6666666666667,0,0,0,0,0,35.6666666666667,35.6666666666667,35.6666666666667,1,35.6666666666667,0,0,0,0,0
Madagascar,True,1,True,True,Adventure,True,Activision,True,66,E,2005,6.68333333333333,9.16666666666667,6,12,4.91666666666667,0,0,0,0,0,9.5,10.8666666666667,10,4,7.86666666666667,5.28333333333333,6.06666666666667,5,8,4.31666666666667
X-Men: Legends II - Rise of Apocalypse,True,1,True,True,"Action,Role-Playing (RPG)",True,Activision,True,84,M,2005,22.3333333333333,32.0833333333333,22,18,18.0833333333333,23.5666666666667,24.7833333333333,23.5666666666667,2,22.35,21.8833333333333,31.9666666666667,22,9,17.9666666666667,22.5666666666667,27.9833333333333,22,7,19.05
Quake 4,True,1,True,True,Action,True,Activision,True,75,E,2005,9.13333333333333,15.9666666666667,8.45,110,6.38333333333333,13.6,18.2333333333333,13,13,10.15,10.5,12.1333333333333,10.0333333333333,26,8.38333333333333,7.8,10.75,8,71,5.95
Pokmon Trozei!,True,1,True,True,Strategy,True,Nintendo,True,74,E,2005,3.23333333333333,4.03333333333333,2.93333333333333,5,2.85,0,0,0,0,0,0,0,0,0,0,3.23333333333333,4.03333333333333,2.93333333333333,5,2.85
Need for Speed: Most Wanted,True,1,True,True,Racing / Driving,True,EA,True,45,E,2005,14.6,46.65,12,182,8.36666666666667,34.6,56.15,30,21,25.2166666666667,15.9166666666667,33.25,14,51,12.4666666666667,10.1833333333333,17.0333333333333,10,110,6.75
Mega Man Maverick Hunter X,True,1,True,True,Action,True,Capcom,True,79,E,2005,6.76666666666667,14.1166666666667,5.68333333333333,18,3.46666666666667,7.45,11.2666666666667,7.66666666666667,5,4.11666666666667,8.05,14.75,7,8,5.25,4.06666666666667,4.43333333333333,4,5,3.51666666666667
Metroid Prime Pinball,True,1,True,True,"Action,Simulation",True,Nintendo,True,79,E,2005,5.56666666666667,8.63333333333333,5,7,3.28333333333333,8.66666666666667,10.4166666666667,9,3,6.91666666666667,5,5,5,1,5,2.68333333333333,3.36666666666667,2.76666666666667,3,2.01666666666667
NBA 06,True,1,True,True,Sports,True,Sony,True,72,E,2005,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4
GUN ,True,1,True,True,"Action,Racing / Driving,Role-Playing (RPG)",True,Activision,True,75,E,2005,8.85,14.8333333333333,8,83,5.95,13.1833333333333,17.2333333333333,13.25,19,10.1,8.55,10.5333333333333,8.51666666666667,36,6.63333333333333,6.3,10.0833333333333,6,28,4.81666666666667
NBA 2K6 ,True,1,True,True,Sports,True,2K,True,81,E,2005,0.616666666666667,0.7,0.533333333333333,3,0.533333333333333,0.616666666666667,0.7,0.533333333333333,3,0.533333333333333,0,0,0,0,0,0,0,0,0,0
Pinball Hall of Fame: The Gottlieb Collection,True,4,True,True,Action,True,,True,73,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Goblet of Fire,True,1,True,True,Action,True,EA,True,68,T,2005,10.5333333333333,13.0833333333333,8.81666666666667,18,6.33333333333333,15,15.5,15,4,14.5,14.3833333333333,15.6666666666667,15.2833333333333,4,12.6666666666667,7.2,8.3,8,10,5.3
Tony Hawk's American Sk8land,True,1,True,True,Sports,True,Activision,True,84,E,2005,18.8,20.7,20,5,16.2,0,0,0,0,0,18.8,20.7,20,5,16.2,0,0,0,0,0
MVP Baseball,True,1,True,True,Sports,True,EA,True,67,M,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiger Woods PGA Tour,True,1,True,True,Sports,True,EA,True,78,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World Series of Poker,True,1,True,True,"Sports,Strategy",True,Activision,True,37,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSX on Tour,True,1,True,True,Sports,True,EA,True,79,E,2005,15.5,16.25,15.5,4,14.75,0,0,0,0,0,15.5,16.25,15.5,4,14.75,0,0,0,0,0
Tiger Woods PGA Tour 06,True,1,True,True,Sports,True,EA,True,80,T,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death Jr.,True,1,True,True,Action,True,Konami,True,61,M,2005,3.53333333333333,3.53333333333333,3.53333333333333,1,3.53333333333333,0,0,0,0,0,0,0,0,0,0,3.53333333333333,3.53333333333333,3.53333333333333,1,3.53333333333333
Harry Potter and the Goblet of Fire,True,1,True,True,Action,True,EA,True,70,T,2005,10.5333333333333,13.0833333333333,8.81666666666667,18,6.33333333333333,15,15.5,15,4,14.5,14.3833333333333,15.6666666666667,15.2833333333333,4,12.6666666666667,7.2,8.3,8,10,5.3
MediEvil Resurrection,True,1,True,True,Action,True,Sony,True,66,T,2005,9.6,10.8166666666667,9.71666666666667,6,7.73333333333333,9.25,10.6666666666667,10.4333333333333,3,7.81666666666667,0,0,0,0,0,9.96666666666667,10.7333333333333,9,3,9.2
"The Chronicles of Narnia: The Lion, the Witch a...",True,1,True,True,"Action,Role-Playing (RPG)",True,,True,65,T,2005,4.35,5.75,2.66666666666667,6,2.9,0,0,0,0,0,8,8,8,1,8,3.61666666666667,5.51666666666667,2.45,5,2.66666666666667
Shrek SuperSlam,True,1,True,True,Action,True,Activision,True,56,E,2005,1.21666666666667,1.66666666666667,1.5,5,0.9,0,0,0,0,0,0,0,0,0,0,1.21666666666667,1.66666666666667,1.5,5,0.9
Virtua Tennis: World Tour,True,1,True,True,Sports,True,Sega,True,84,M,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince of Persia: Revelations,True,1,True,True,Action,True,Ubisoft,True,65,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnout Legends,True,1,True,True,"Action,Racing / Driving",True,EA,True,38,E,2005,12.8333333333333,18.2,12,14,9,15.3666666666667,18.9166666666667,16.25,4,11.3833333333333,14.0833333333333,18.5166666666667,12,7,10.0333333333333,6.51666666666667,6.86666666666667,7,3,6.16666666666667
Meteos,True,1,True,True,Strategy,True,Nintendo,True,88,E,2005,17.2666666666667,26.5833333333333,14.1,13,10.3333333333333,23.75,30.6166666666667,23.75,2,16.8666666666667,20.4166666666667,25.4,21.2166666666667,7,13.9,8.51666666666667,11.05,7.5,4,6.5
Spyro: Shadow Legacy,True,1,True,True,Role-Playing (RPG),True,,True,50,E,2005,4,5.11666666666667,4.5,4,2.63333333333333,6,6,6,1,6,5,5,5,1,5,2.51666666666667,3.25,2.51666666666667,2,1.76666666666667
The Con,True,1,True,True,Action,True,Sony,True,63,E,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infected,True,1,True,True,Action,True,,True,74,E,2005,6.66666666666667,7,6.66666666666667,2,6.33333333333333,0,0,0,0,0,0,0,0,0,0,6.66666666666667,7,6.66666666666667,2,6.33333333333333
