Titulo,Compañia_Desarrollo,Fecha_Lanzamiento,Genero,Plataforma,Multiplataforma,Portátil,Online,Max_Jugadores,Rating,Ranking,Puntuacion_Reseña,Secuela,Licenciado,Ventas_NA,Ventas_EU,Ventas_JP,Ventas_Otros,Ventas_Globales,Ventas_estimadas,Exitoso
Terraria,505 Games,2014.0,Adventure,XOne,False,False,False,0.0,Desconocido,13772.0,0.0,False,False,0,0.04,0.0,0.0,40000.0,44.5,False
Terraria,505 Games,2016.0,Adventure,WiiU,False,False,False,0.0,Desconocido,14850.0,0.0,False,False,0,0.02,0.0,0.0,30000.0,44.5,False
Wii_Fit_/_Plus,Desconocido,0.0,Sports,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,43.82,False
Tetris_(Nintendo),Desconocido,0.0,Puzzle,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,43.0,False
Animal_Crossing,Desconocido,0.0,Simulation,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,41.59,False
Pac-Man,Atari,1982.0,Arcade,2600,False,False,False,0.0,Desconocido,90.0,0.0,False,False,7.28,0.45,0.0,0.08,7810000.0,41.49,True
Pac-Man,Namco Bandai Games,1984.0,Arcade,NES,False,False,False,0.0,Desconocido,1640.0,0.0,False,False,0.27,0.08,0.85,0.02,1220000.0,41.49,True
Mario_Kart_Wii,Nintendo,2008.0,Racing,Wii,True,True,True,4.0,T,3.0,82.0,True,True,15.85,12.88,3.79,3.31,35820000.0,37.8,True
Wii_Sports_Resort,Nintendo,2009.0,Sports,Wii,False,False,False,0.0,Desconocido,4.0,0.0,False,False,15.75,11.01,3.28,2.96,33000000.0,33.14,True
New_Super_Mario_Bros.,Nintendo,2006.0,Platform,DS,True,True,True,1.0,T,7.0,89.0,True,True,11.38,9.23,6.5,2.9,30010000.0,30.8,True
New_Super_Mario_Bros._Wii,Nintendo,2009.0,Platform,Wii,False,False,False,0.0,Desconocido,9.0,0.0,False,False,14.59,7.06,4.7,2.26,28620000.0,30.32,True
Call_of_Duty,Desconocido,0.0,Shooter,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,30.0,False
Human,Desconocido,0.0,Puzzle,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,30.0,False
Diablo_III,Activision,2012.0,Role-Playing,PC,False,False,False,0.0,Desconocido,182.0,0.0,False,False,2.43,2.15,0.0,0.62,5200000.0,30.0,True
Diablo_III,Activision,2013.0,Role-Playing,PS3,False,False,False,0.0,Desconocido,828.0,0.0,False,False,0.71,0.83,0.15,0.35,2049999.9999999998,30.0,True
Diablo_III,Activision,2014.0,Role-Playing,PS4,False,False,False,0.0,Desconocido,1024.0,0.0,False,False,0.49,0.88,0.06,0.3,1740000.0,30.0,True
Diablo_III,Activision,2013.0,Role-Playing,X360,False,False,False,0.0,Desconocido,1318.0,0.0,False,False,0.89,0.44,0.0,0.12,1450000.0,30.0,True
Diablo_III,Activision,2014.0,Role-Playing,XOne,False,False,False,0.0,Desconocido,3138.0,0.0,False,False,0.35,0.24,0.0,0.05,640000.0,30.0,True
The_Elder_Scrolls_V,Bethesda Softworks,2011.0,Role-Playing,X360,False,False,False,0.0,Desconocido,76.0,0.0,False,False,5.03,2.86,0.1,0.85,8840000.0,30.0,True
The_Elder_Scrolls_V,Bethesda Softworks,2011.0,Role-Playing,PS3,False,False,False,0.0,Desconocido,127.0,0.0,False,False,2.55,2.71,0.25,1.05,6560000.0,30.0,True
The_Elder_Scrolls_V,Bethesda Softworks,2011.0,Role-Playing,PC,False,False,False,0.0,Desconocido,311.0,0.0,False,False,1.15,2.09,0.0,0.64,3880000.0,30.0,True
Pokémon_Oro_/_Plata_/_Cristal,Desconocido,0.0,Role-Playing,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,29.49,False
The_Legend_of_Zelda,Desconocido,0.0,Adventure,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,29.0,False
Super_Smash_Bros._Ultimate,Desconocido,0.0,Fighting,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,30.44,False
Duck_Hunt,Nintendo,1984.0,Shooter,NES,False,False,False,0.0,Desconocido,10.0,0.0,False,False,26.93,0.63,0.28,0.47,28310000.0,28.3,True
Wii_Play,Nintendo,2006.0,Misc,Wii,True,True,True,2.0,T,8.0,58.0,True,True,14.03,9.2,2.93,2.85,29020000.0,28.02,True
The_Walking_Dead,Desconocido,0.0,Adventure,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,28.0,False
Grand_Theft_Auto,Take-Two Interactive,2004.0,Action,PS2,False,False,False,0.0,Desconocido,18.0,0.0,False,False,9.43,0.4,0.41,10.57,20810000.0,27.5,True
Grand_Theft_Auto,Take-Two Interactive,2005.0,Action,XB,False,False,False,0.0,Desconocido,875.0,0.0,False,False,1.26,0.61,0.0,0.09,1950000.0,27.5,True
Grand_Theft_Auto,Take-Two Interactive,2005.0,Action,PC,False,False,False,0.0,Desconocido,2122.0,0.0,False,False,0,0.92,0.0,0.05,980000.0,27.5,True
Grand_Theft_Auto,Take-Two Interactive,2008.0,Action,X360,False,False,False,0.0,Desconocido,9829.0,0.0,False,False,0.08,0.03,0.0,0.01,120000.0,27.5,False
Super_Mario_World,Nintendo,1990.0,Platform,SNES,False,False,False,0.0,Desconocido,19.0,0.0,False,False,12.78,3.75,3.54,0.55,20610000.0,26.6,True
Super_Mario_World,Nintendo,2001.0,Platform,GBA,False,False,False,0.0,Desconocido,165.0,0.0,False,False,3.21,1.11,0.95,0.2,5460000.0,26.6,True
Call_of_Duty,Activision,2011.0,Shooter,X360,False,False,False,0.0,Desconocido,30.0,0.0,False,False,9.03,4.28,0.13,1.32,14760000.0,26.5,True
Call_of_Duty,Activision,2011.0,Shooter,PS3,False,False,False,0.0,Desconocido,38.0,0.0,False,False,5.54,5.82,0.49,1.62,13460000.0,26.5,True
Call_of_Duty,Activision,2011.0,Shooter,PC,False,False,False,0.0,Desconocido,1039.0,0.0,False,False,0.41,0.98,0.0,0.33,1720000.0,26.5,True
Call_of_Duty,Activision,2011.0,Shooter,Wii,False,False,False,0.0,Desconocido,2352.0,0.0,False,False,0.6,0.21,0.0,0.08,890000.0,26.5,True
Call_of_Duty,Activision,2010.0,Shooter,X360,False,False,False,0.0,Desconocido,32.0,0.0,False,False,9.67,3.73,0.11,1.13,14640000.0,26.2,True
Call_of_Duty,Activision,2010.0,Shooter,PS3,False,False,False,0.0,Desconocido,41.0,0.0,False,False,5.98,4.44,0.48,1.83,12730000.0,26.2,True
Call_of_Duty,Activision,0.0,Shooter,PC,False,False,False,0.0,Desconocido,1128.0,0.0,False,False,0.58,0.81,0.0,0.24,1630000.0,26.2,True
Call_of_Duty,Activision,2010.0,Shooter,Wii,False,False,False,0.0,Desconocido,1381.0,0.0,False,False,0.82,0.47,0.0,0.12,1400000.0,26.2,True
Call_of_Duty,Activision,2010.0,Shooter,DS,False,False,False,0.0,Desconocido,3213.0,0.0,False,False,0.54,0.05,0.0,0.04,630000.0,26.2,True
Borderlands_2,Take-Two Interactive,2012.0,Role-Playing,X360,False,False,False,0.0,Desconocido,454.0,0.0,False,False,1.89,0.91,0.04,0.24,3070000.0,26.0,True
Borderlands_2,Take-Two Interactive,2012.0,Role-Playing,PS3,False,False,False,0.0,Desconocido,705.0,0.0,False,False,1.05,0.77,0.1,0.36,2280000.0,26.0,True
Borderlands_2,Take-Two Interactive,2012.0,Role-Playing,PC,False,False,False,0.0,Desconocido,2226.0,0.0,False,False,0.42,0.41,0.0,0.11,930000.0,26.0,True
Borderlands_2,Take-Two Interactive,2014.0,Role-Playing,PSV,False,False,False,0.0,Desconocido,2488.0,0.0,False,False,0.43,0.21,0.01,0.19,830000.0,26.0,True
Pokémon_Sol_/_Luna_/_Ultrasol_/_Ultraluna,Desconocido,0.0,Role-Playing,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,25.37,False
Grand_Theft_Auto_IV,Take-Two Interactive,2008.0,Action,X360,True,True,True,1.0,E,52.0,98.0,True,True,6.76,3.1,0.14,1.03,11020000.0,25.0,True
Grand_Theft_Auto_IV,Take-Two Interactive,2008.0,Action,X360,True,True,True,1.0,E,52.0,98.0,True,True,6.76,3.1,0.14,1.03,11020000.0,25.0,True
Grand_Theft_Auto_IV,Take-Two Interactive,2008.0,Action,PS3,True,True,True,1.0,E,57.0,98.0,True,True,4.76,3.76,0.44,1.62,10570000.0,25.0,True
Grand_Theft_Auto_IV,Take-Two Interactive,2008.0,Action,PS3,True,True,True,1.0,E,57.0,98.0,True,True,4.76,3.76,0.44,1.62,10570000.0,25.0,True
Grand_Theft_Auto_IV,Take-Two Interactive,2008.0,Action,PC,True,True,True,1.0,E,2359.0,98.0,True,True,0.01,0.79,0.0,0.08,880000.0,25.0,True
Grand_Theft_Auto_IV,Take-Two Interactive,2008.0,Action,PC,True,True,True,1.0,E,2359.0,98.0,True,True,0.01,0.79,0.0,0.08,880000.0,25.0,True
Pokémon_Diamante_/_Perla_/_Platino,Desconocido,0.0,Role-Playing,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,24.73,False
Pokémon_Espada_y_Escudo,Desconocido,0.0,Role-Playing,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,25.68,False
Super_Mario_Bros._3,Nintendo,1988.0,Platform,NES,False,False,False,0.0,Desconocido,23.0,0.0,False,False,9.54,3.44,3.84,0.46,17280000.0,24.4,True
Super_Mario_Bros._3,Nintendo,2003.0,Platform,GBA,False,False,False,0.0,Desconocido,183.0,0.0,False,False,2.93,1.25,0.83,0.2,5200000.0,24.4,True
Call_of_Duty,Activision,2012.0,Shooter,PS3,False,False,False,0.0,Desconocido,35.0,0.0,False,False,4.99,5.88,0.65,2.52,14030000.0,24.2,True
Call_of_Duty,Activision,2012.0,Shooter,X360,False,False,False,0.0,Desconocido,36.0,0.0,False,False,8.25,4.3,0.07,1.12,13730000.0,24.2,True
Call_of_Duty,Activision,2012.0,Shooter,PC,False,False,False,0.0,Desconocido,1219.0,0.0,False,False,0.63,0.69,0.0,0.21,1530000.0,24.2,True
Call_of_Duty,Activision,2012.0,Shooter,WiiU,False,False,False,0.0,Desconocido,4556.0,0.0,False,False,0.21,0.18,0.0,0.03,430000.0,24.2,False
FIFA_18,Desconocido,0.0,Sports,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,24.0,False
Kinect_Adventures!,Microsoft Game Studios,2010.0,Misc,X360,False,False,False,0.0,Desconocido,16.0,0.0,False,False,14.97,4.94,0.24,1.67,21820000.0,24.0,True
Nintendogs,Nintendo,2005.0,Simulation,DS,True,True,True,1.0,E,11.0,83.0,True,True,9.07,11.0,1.93,2.75,24760000.0,23.96,True
Super_Mario_Odyssey,Desconocido,0.0,Platform,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,23.93,False
Mario_Kart_DS,Nintendo,2005.0,Racing,DS,True,True,True,1.0,E,12.0,91.0,True,True,9.81,7.57,4.13,1.92,23420000.0,23.6,True
Sonic_the_Hedgehog,Sega,1991.0,Platform,GEN,True,True,True,2.0,T,255.0,46.0,True,True,3.03,0.91,0.26,0.13,4340000.0,23.48,True
Sonic_the_Hedgehog,Sega,1991.0,Platform,GEN,True,True,True,2.0,M,255.0,43.0,True,True,3.03,0.91,0.26,0.13,4340000.0,23.48,True
Sonic_the_Hedgehog,Sega,2006.0,Platform,PS3,True,True,True,2.0,T,1717.0,46.0,True,True,0.41,0.07,0.04,0.66,1180000.0,23.48,True
Sonic_the_Hedgehog,Sega,2006.0,Platform,PS3,True,True,True,2.0,M,1717.0,43.0,True,True,0.41,0.07,0.04,0.66,1180000.0,23.48,True
Sonic_the_Hedgehog,Sega,2006.0,Platform,X360,True,True,True,2.0,T,1985.0,46.0,True,True,0.44,0.49,0.0,0.11,1050000.0,23.48,True
Sonic_the_Hedgehog,Sega,2006.0,Platform,X360,True,True,True,2.0,M,1985.0,43.0,True,True,0.44,0.49,0.0,0.11,1050000.0,23.48,True
Sonic_the_Hedgehog,Desconocido,0.0,Platform,PS3,True,True,True,2.0,T,4147.0,46.0,True,True,0,0.48,0.0,0.0,480000.0,23.48,False
Sonic_the_Hedgehog,Desconocido,0.0,Platform,PS3,True,True,True,2.0,M,4147.0,43.0,True,True,0,0.48,0.0,0.0,480000.0,23.48,False
Red_Dead_Redemption,Take-Two Interactive,2010.0,Action,PS3,False,False,False,0.0,Desconocido,124.0,0.0,False,False,2.79,2.61,0.17,1.03,6600000.0,23.0,True
Red_Dead_Redemption,Take-Two Interactive,2010.0,Action,X360,False,False,False,0.0,Desconocido,135.0,0.0,False,False,3.7,1.97,0.09,0.57,6340000.0,23.0,True
Super_Mario_64_/_DS,Desconocido,0.0,Platform,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,22.96,False
Call_of_Duty,Activision,2009.0,Shooter,X360,False,False,False,0.0,Desconocido,37.0,0.0,False,False,8.52,3.63,0.08,1.29,13510000.0,22.7,True
Call_of_Duty,Activision,2009.0,Shooter,PS3,False,False,False,0.0,Desconocido,56.0,0.0,False,False,4.99,3.69,0.38,1.63,10690000.0,22.7,True
Call_of_Duty,Activision,2009.0,Shooter,PC,False,False,False,0.0,Desconocido,2349.0,0.0,False,False,0.01,0.79,0.0,0.09,890000.0,22.7,True
Pokémon_Rubí_/_Zafiro_/_Esmeralda,Desconocido,0.0,Role-Playing,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,22.54,False
Pokemon_Red/Pokemon_Blue,Nintendo,1996.0,Role-Playing,GB,False,False,False,0.0,Desconocido,5.0,0.0,False,False,11.27,8.89,10.22,1.0,31370000.0,0.0,True
Tetris,Nintendo,1989.0,Puzzle,GB,False,False,False,0.0,Desconocido,6.0,0.0,False,False,23.2,2.26,4.22,0.58,30260000.0,0.0,True
Tetris,Nintendo,1988.0,Puzzle,NES,False,False,False,0.0,Desconocido,156.0,0.0,False,False,2.97,0.69,1.81,0.11,5580000.0,0.0,True
Pokemon_Gold/Pokemon_Silver,Nintendo,1999.0,Role-Playing,GB,False,False,False,0.0,Desconocido,13.0,0.0,False,False,9,6.18,7.2,0.71,23100000.0,0.0,True
Wii_Fit,Nintendo,2007.0,Sports,Wii,True,True,True,1.0,T,14.0,80.0,True,True,8.94,8.03,3.6,2.15,22720000.0,0.0,True
Wii_Fit_Plus,Nintendo,2009.0,Sports,Wii,False,False,False,0.0,Desconocido,15.0,0.0,False,False,9.09,8.59,2.53,1.79,22000000.0,0.0,True
Brain_Age,Nintendo,2005.0,Misc,DS,False,False,False,0.0,Desconocido,20.0,0.0,False,False,4.75,9.26,4.16,2.05,20220000.0,0.0,True
Pokemon_Diamond/Pokemon_Pearl,Nintendo,2006.0,Role-Playing,DS,False,False,False,0.0,Desconocido,21.0,0.0,False,False,6.42,4.52,6.04,1.37,18360000.0,0.0,True
Super_Mario_Land,Nintendo,1989.0,Platform,GB,False,False,False,0.0,Desconocido,22.0,0.0,False,False,10.83,2.71,4.18,0.42,18140000.0,0.0,True
Grand_Theft_Auto,Take-Two Interactive,2002.0,Action,PS2,False,False,False,0.0,Desconocido,25.0,0.0,False,False,8.41,5.49,0.47,1.78,16149999.999999998,0.0,True
Grand_Theft_Auto,Take-Two Interactive,2003.0,Action,PC,False,False,False,0.0,Desconocido,13734.0,0.0,False,False,0,0.03,0.0,0.01,40000.0,0.0,False
Pokemon_Ruby/Pokemon_Sapphire,Nintendo,2002.0,Role-Playing,GBA,False,False,False,0.0,Desconocido,26.0,0.0,False,False,6.06,3.9,5.38,0.5,15850000.0,0.0,True
Pokemon_Black/Pokemon_White,Nintendo,2010.0,Role-Playing,DS,False,False,False,0.0,Desconocido,27.0,0.0,False,False,5.57,3.28,5.65,0.82,15320000.0,0.0,True
Brain_Age_2,Nintendo,2005.0,Puzzle,DS,False,False,False,0.0,Desconocido,28.0,0.0,False,False,3.44,5.36,5.32,1.18,15300000.0,0.0,True
Gran_Turismo_3,Sony Computer Entertainment,2001.0,Racing,PS2,False,False,False,0.0,Desconocido,29.0,0.0,False,False,6.85,5.09,1.87,1.16,14980000.0,0.0,True
Pokémon_Yellow,Nintendo,1998.0,Role-Playing,GB,False,False,False,0.0,Desconocido,31.0,0.0,False,False,5.89,5.04,3.12,0.59,14640000.0,0.0,True
Pokemon_X/Pokemon_Y,Nintendo,2013.0,Role-Playing,3DS,False,False,False,0.0,Desconocido,33.0,0.0,False,False,5.17,4.05,4.34,0.79,14350000.0,0.0,True
Call_of_Duty,Activision,2015.0,Shooter,PS4,False,False,False,0.0,Desconocido,34.0,0.0,False,False,5.77,5.81,0.35,2.31,14240000.0,0.0,True
Call_of_Duty,Activision,2015.0,Shooter,XOne,False,False,False,0.0,Desconocido,102.0,0.0,False,False,4.52,2.09,0.01,0.67,7300000.0,0.0,True
Call_of_Duty,Activision,2015.0,Shooter,PS3,False,False,False,0.0,Desconocido,969.0,0.0,False,False,0.49,0.96,0.07,0.27,1790000.0,0.0,True
Call_of_Duty,Activision,2015.0,Shooter,X360,False,False,False,0.0,Desconocido,1001.0,0.0,False,False,1.11,0.48,0.0,0.16,1760000.0,0.0,True
Call_of_Duty,Activision,2015.0,Shooter,PC,False,False,False,0.0,Desconocido,7052.0,0.0,False,False,0,0.22,0.0,0.01,230000.0,0.0,False
Grand_Theft_Auto_III,Take-Two Interactive,2001.0,Action,PS2,False,False,False,0.0,Desconocido,39.0,0.0,False,False,6.99,4.51,0.3,1.3,13100000.0,0.0,True
Grand_Theft_Auto_III,Take-Two Interactive,2002.0,Action,PC,False,False,False,0.0,Desconocido,16096.0,0.0,False,False,0,0.01,0.0,0.0,10000.0,0.0,False
Super_Smash_Bros._Brawl,Nintendo,2008.0,Fighting,Wii,False,False,False,0.0,Desconocido,40.0,0.0,False,False,6.75,2.61,2.66,1.02,13040000.0,0.0,True
Animal_Crossing,Nintendo,2005.0,Simulation,DS,True,True,True,1.0,T,42.0,86.0,True,True,2.55,3.52,5.33,0.88,12270000.0,0.0,True
Mario_Kart_7,Nintendo,2011.0,Racing,3DS,False,False,False,0.0,Desconocido,43.0,0.0,False,False,4.74,3.91,2.67,0.89,12210000.0,0.0,True
Halo_3,Microsoft Game Studios,2007.0,Shooter,X360,True,True,True,4.0,E,44.0,94.0,True,True,7.97,2.83,0.13,1.21,12140000.0,0.0,True
Pokemon_HeartGold/Pokemon_SoulSilver,Nintendo,2009.0,Action,DS,False,False,False,0.0,Desconocido,46.0,0.0,False,False,4.4,2.77,3.96,0.77,11900000.0,0.0,True
Super_Mario_64,Nintendo,1996.0,Platform,N64,False,False,False,0.0,Desconocido,47.0,0.0,False,False,6.91,2.85,1.91,0.23,11890000.0,0.0,True
Super_Mario_64,Nintendo,2004.0,Platform,DS,False,False,False,0.0,Desconocido,60.0,0.0,False,False,5.08,3.11,1.25,0.98,10420000.0,0.0,True
Gran_Turismo_4,Sony Computer Entertainment,2004.0,Racing,PS2,False,False,False,0.0,Desconocido,48.0,0.0,False,False,3.01,0.01,1.1,7.53,11660000.0,0.0,True
Super_Mario_Galaxy,Nintendo,2007.0,Platform,Wii,True,True,True,2.0,E,49.0,97.0,True,True,6.16,3.4,1.2,0.76,11520000.0,0.0,True
Pokemon_Omega_Ruby/Pokemon_Alpha_Sapphire,Nintendo,2014.0,Role-Playing,3DS,False,False,False,0.0,Desconocido,50.0,0.0,False,False,4.23,3.37,3.08,0.65,11330000.0,0.0,True
Super_Mario_Land_2,Nintendo,1992.0,Adventure,GB,False,False,False,0.0,Desconocido,51.0,0.0,False,False,6.16,2.04,2.69,0.29,11180000.0,0.0,True
Gran_Turismo,Sony Computer Entertainment,1997.0,Racing,PS,False,False,False,0.0,Desconocido,53.0,0.0,False,False,4.02,3.87,2.54,0.52,10950000.0,0.0,True
Super_Mario_3D_Land,Nintendo,2011.0,Platform,3DS,False,False,False,0.0,Desconocido,54.0,0.0,False,False,4.89,2.99,2.13,0.78,10790000.0,0.0,True
Gran_Turismo_5,Sony Computer Entertainment,2010.0,Racing,PS3,False,False,False,0.0,Desconocido,55.0,0.0,False,False,2.96,4.88,0.81,2.12,10770000.0,0.0,True
Super_Mario_All-Stars,Nintendo,1993.0,Platform,SNES,False,False,False,0.0,Desconocido,58.0,0.0,False,False,5.99,2.15,2.12,0.29,10550000.0,0.0,True
Pokemon_FireRed/Pokemon_LeafGreen,Nintendo,2004.0,Role-Playing,GBA,False,False,False,0.0,Desconocido,59.0,0.0,False,False,4.34,2.65,3.15,0.35,10490000.0,0.0,True
Just_Dance_3,Ubisoft,2011.0,Misc,Wii,False,False,False,0.0,Desconocido,61.0,0.0,False,False,6.05,3.15,0.0,1.07,10260000.0,0.0,True
Just_Dance_3,Ubisoft,2011.0,Misc,X360,False,False,False,0.0,Desconocido,840.0,0.0,False,False,1.47,0.4,0.0,0.16,2029999.9999999998,0.0,True
Just_Dance_3,Ubisoft,2011.0,Misc,PS3,False,False,False,0.0,Desconocido,3212.0,0.0,False,False,0.33,0.21,0.0,0.09,630000.0,0.0,True
Call_of_Duty,Activision,2013.0,Shooter,X360,False,False,False,0.0,Desconocido,62.0,0.0,False,False,6.72,2.63,0.04,0.82,10210000.0,0.0,True
Call_of_Duty,Activision,2013.0,Shooter,PS3,False,False,False,0.0,Desconocido,68.0,0.0,False,False,4.09,3.73,0.38,1.38,9590000.0,0.0,True
Call_of_Duty,Activision,2013.0,Shooter,PS4,False,False,False,0.0,Desconocido,350.0,0.0,False,False,1.78,1.42,0.05,0.38,3630000.0,0.0,True
Call_of_Duty,Activision,2013.0,Shooter,XOne,False,False,False,0.0,Desconocido,506.0,0.0,False,False,1.87,0.77,0.0,0.22,2860000.0,0.0,True
Call_of_Duty,Activision,2013.0,Shooter,PC,False,False,False,0.0,Desconocido,2799.0,0.0,False,False,0.23,0.41,0.0,0.09,730000.0,0.0,True
Call_of_Duty,Activision,2013.0,Shooter,WiiU,False,False,False,0.0,Desconocido,5220.0,0.0,False,False,0.23,0.09,0.01,0.03,360000.0,0.0,False
Halo,Microsoft Game Studios,2010.0,Shooter,X360,False,False,False,0.0,Desconocido,63.0,0.0,False,False,7.03,1.98,0.08,0.78,9880000.0,0.0,True
Mario_Kart_64,Nintendo,1996.0,Racing,N64,False,False,False,0.0,Desconocido,64.0,0.0,False,False,5.55,1.94,2.23,0.15,9870000.0,0.0,True
